X Y Z Stress_XX Stress_XY Stress_YY
0.32 0.72 0 165.02 -62.8308 2687.21
0.36 0.72 0 179.285 -52.6797 2691.36
0.4 0.72 0 186.866 -39.0079 2693.95
0.44 0.72 0 190.165 -23.6695 2695.41
0.48 0.72 0 199.118 -7.89459 2695.61
0.52 0.72 0 197.778 7.29362 2695.97
0.56 0.72 0 191.479 24.0237 2695.43
0.6 0.72 0 187.592 37.9273 2693.49
0.64 0.72 0 176.593 51.8371 2690.56
0.68 0.72 0 164.006 63.137 2687.24
0.72 0.72 0 148.396 70.7785 2681.28
0.76 0.72 0 128.282 75.5275 2671.93
0.8 0.72 0 104.804 75.4119 2658.68
0.2 0.76 0 141.246 -100.147 2663.21
0.24 0.76 0 168.2 -96.4264 2668.56
0.28 0.76 0 187.9 -90.8563 2673.71
0.32 0.76 0 206.155 -78.7325 2675.54
0.36 0.76 0 222.33 -62.7627 2676.88
0.4 0.76 0 233.015 -46.6303 2678.52
0.44 0.76 0 239.775 -28.9422 2679.26
0.48 0.76 0 241.135 -9.90801 2677.24
0.52 0.76 0 242.217 9.73543 2678.4
0.56 0.76 0 237.189 28.8255 2678.59
0.6 0.76 0 232.004 47.445 2677.85
0.64 0.76 0 222.309 64.5647 2676.19
0.68 0.76 0 208.527 78.0341 2675.58
0.72 0.76 0 190.821 89.8167 2672.68
0.76 0.76 0 169.107 96.8876 2669.44
0.8 0.76 0 143.338 99.5885 2660.84
0.2 0.8 0 188.963 -126.494 2660.86
0.24 0.8 0 214.555 -121.378 2661.95
0.28 0.8 0 239.304 -108.681 2661.51
0.32 0.8 0 257.867 -95.5515 2660.17
0.36 0.8 0 271.5 -76.2128 2658.87
0.4 0.8 0 279.299 -55.4852 2658.79
0.44 0.8 0 289.073 -34.0063 2659.69
0.48 0.8 0 290.713 -11.6544 2659.06
0.52 0.8 0 291.562 12.0179 2659.14
0.56 0.8 0 286.946 33.1777 2659.28
0.6 0.8 0 282 55.0253 2659.25
0.64 0.8 0 269.711 73.4447 2658.12
0.68 0.8 0 254.479 95.9129 2659.7
0.72 0.8 0 241.146 110.338 2661.11
0.76 0.8 0 217.883 119.926 2661.22
0.8 0.8 0 189.484 125.528 2661.58
