 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
  153     0.00350876              1   0.000782196    0.000769945   0.00350876       0.00347471   T=3.81578s   ACCEPTED
  154     0.00347471              1   0.000769945     0.00075793   0.00347471       0.00344103   T=3.7671s   ACCEPTED
  155     0.00344103              1   0.00075793    0.000746146   0.00344103       0.00340773   T=3.60556s   ACCEPTED
  156     0.00340773              1   0.000746146     0.00073459   0.00340773        0.0033748   T=3.73514s   ACCEPTED
  157      0.0033748              1   0.00073459    0.000723256    0.0033748       0.00334224   T=3.66816s   ACCEPTED
  158     0.00334224              1   0.000723256    0.000712139   0.00334224       0.00331004   T=3.89962s   ACCEPTED
  159     0.00331004              1   0.000712139    0.000701235   0.00331004       0.00327819   T=3.62638s   ACCEPTED
  160     0.00327819              1   0.000701235     0.00069054   0.00327819        0.0032467   T=3.9056s   ACCEPTED
  161      0.0032467              1   0.00069054     0.00068005    0.0032467       0.00321555   T=3.90184s   ACCEPTED
  162     0.00321555              1   0.00068005     0.00066976   0.00321555       0.00318475   T=3.7786s   ACCEPTED
  163     0.00318475              1   0.00066976    0.000659665   0.00318475       0.00315429   T=3.44008s   ACCEPTED
  164     0.00315429              1   0.000659665    0.000649763   0.00315429       0.00312417   T=3.74807s   ACCEPTED
  165     0.00312417              1   0.000649763     0.00064005   0.00312417       0.00309439   T=3.66301s   ACCEPTED
  166     0.00309439              1   0.00064005     0.00063052   0.00309439       0.00306493   T=3.73042s   ACCEPTED
  167     0.00306493              1   0.00063052    0.000621171   0.00306493       0.00303579   T=3.48926s   ACCEPTED
  168     0.00303579              1   0.000621171    0.000611998   0.00303579       0.00300698   T=3.6362s   ACCEPTED
  169     0.00300698              1   0.000611998    0.000602999   0.00300698       0.00297849   T=3.48058s   ACCEPTED
  170     0.00297849              1   0.000602999     0.00059417   0.00297849       0.00295031   T=3.2996s   ACCEPTED
  171     0.00295031              1   0.00059417    0.000585507   0.00295031       0.00292244   T=3.47714s   ACCEPTED
  172     0.00292244              1   0.000585507    0.000577006   0.00292244       0.00289488   T=3.71842s   ACCEPTED
  173     0.00289488              1   0.000577006    0.000568665   0.00289488       0.00286763   T=3.63739s   ACCEPTED
  174     0.00286763              1   0.000568665    0.000560481   0.00286763       0.00284067   T=3.80728s   ACCEPTED
  175     0.00284067              1   0.000560481    0.000552449   0.00284067       0.00281402   T=3.83631s   ACCEPTED
  176     0.00281402              1   0.000552449    0.000544568   0.00281402       0.00278765   T=3.59028s   ACCEPTED
  177     0.00278765              1   0.000544568    0.000536833   0.00278765       0.00276158   T=3.81227s   ACCEPTED
  178     0.00276158              1   0.000536833    0.000529242   0.00276158        0.0027358   T=3.51935s   ACCEPTED
  179      0.0027358              1   0.000529242    0.000521793    0.0027358        0.0027103   T=3.88971s   ACCEPTED
