 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
  119    0.000541126              8   0.000182171    0.000181343   0.000541126      0.000623119   T=0.664284s   ACCEPTED
  120    0.000623119            6.4   0.000181343    0.000180387   0.000623119      0.000542382   T=0.885937s   ACCEPTED
  121    0.000542382              8   0.000180387    0.000179584   0.000542382      0.000626208   T=0.685557s   ACCEPTED
  122    0.000626208            6.4   0.000179584    0.000178642   0.000626208      0.000543993   T=0.894909s   ACCEPTED
  123    0.000543993              8   0.000178642    0.000177863   0.000543993      0.000629703   T=0.677877s   ACCEPTED
  124    0.000629703            6.4   0.000177863    0.000176931   0.000629703      0.000545956   T=0.883779s   ACCEPTED
  125    0.000545956              8   0.000176931    0.000176176   0.000545956      0.000633602   T=0.67153s   ACCEPTED
  126    0.000633602            6.4   0.000176176    0.000175255   0.000633602      0.000548267   T=0.903089s   ACCEPTED
  127    0.000548267              8   0.000175255    0.000174523   0.000548267      0.000637904   T=0.674625s   ACCEPTED
  128    0.000637904            6.4   0.000174523    0.000173611   0.000637904      0.000550922   T=0.905456s   ACCEPTED
  129    0.000550922            6.4   0.000173611    0.000172768   0.000550922      0.000485765   T=0.886031s   ACCEPTED
